score_threshold,nms_iou_threshold,micro_precision,micro_recall,micro_f1,mAP50,tp,fp,fn
0.65,0.18,0.692047,0.868365,0.770245,0.852034,409,182,62
0.64,0.18,0.688442,0.872611,0.769663,0.853165,411,186,60
0.65,0.25,0.679739,0.883227,0.768236,0.856419,416,196,55
0.65,0.2,0.684385,0.874735,0.76794,0.853943,412,190,59
0.65,0.205,0.684385,0.874735,0.76794,0.853998,412,190,59
0.65,0.21,0.684385,0.874735,0.76794,0.853987,412,190,59
0.64,0.2,0.680921,0.878981,0.767377,0.855058,414,194,57
0.65,0.22,0.681518,0.876858,0.766945,0.85457,413,193,58
0.64,0.205,0.679803,0.878981,0.766667,0.855112,414,195,57
0.64,0.21,0.679803,0.878981,0.766667,0.8551,414,195,57
0.64,0.25,0.674194,0.887473,0.766269,0.857524,418,202,53
0.63,0.18,0.679868,0.874735,0.765088,0.853721,412,194,59
0.64,0.22,0.675896,0.881104,0.764977,0.855678,415,199,56
0.62,0.18,0.674797,0.881104,0.764273,0.855384,415,200,56
0.63,0.2,0.672609,0.881104,0.762868,0.85561,415,202,56
0.62,0.2,0.6688,0.887473,0.762774,0.857253,418,207,53
0.63,0.25,0.66561,0.89172,0.76225,0.858618,420,211,51
0.63,0.205,0.671521,0.881104,0.762167,0.855662,415,203,56
0.63,0.21,0.671521,0.881104,0.762167,0.855651,415,203,56
0.62,0.25,0.661972,0.898089,0.762162,0.860239,423,216,48
0.6,0.18,0.667732,0.887473,0.762078,0.857025,418,208,53
0.62,0.205,0.667732,0.887473,0.762078,0.857301,418,208,53
0.62,0.21,0.667732,0.887473,0.762078,0.857289,418,208,53
0.6,0.25,0.656394,0.904459,0.760714,0.861847,426,223,45
0.63,0.22,0.667737,0.883227,0.760512,0.856226,416,207,55
0.62,0.22,0.664025,0.889597,0.760436,0.857855,419,212,52
0.6,0.2,0.660911,0.893843,0.759928,0.858877,421,216,50
0.6,0.205,0.660911,0.893843,0.759928,0.858923,421,216,50
0.6,0.21,0.660911,0.893843,0.759928,0.858912,421,216,50
0.6,0.22,0.657321,0.895966,0.758311,0.859463,422,220,49
